,Label,Bias,run_id,parent_run_id,experiment_run_id,experiment_id,corpus,start_time,strategy,type
0,con,0.4746331591113472,bb4dd8cd65ac4ac5b528f9f93dc2f099,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 02:28:30.114000+00:00,representative-diversity,bias
1,pro,0.3854912624456775,bb4dd8cd65ac4ac5b528f9f93dc2f099,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 02:28:30.114000+00:00,representative-diversity,bias
0,con,0.4855389695634202,772f2bcb9c104503aace93425adc180c,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:46:42.598000+00:00,round-robin-highest-confidence,bias
1,pro,0.3745008616463373,772f2bcb9c104503aace93425adc180c,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:46:42.598000+00:00,round-robin-highest-confidence,bias
0,con,0.4612697012334549,68a25468c4fa466d9883addde0c31d70,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 15:07:41.066000+00:00,max-tag-count,bias
1,pro,0.3592561121504781,68a25468c4fa466d9883addde0c31d70,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 15:07:41.066000+00:00,max-tag-count,bias
0,con,0.4558935974894751,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,bias
1,pro,0.3443658917126623,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,bias
0,con,0.4389972714369677,92e81793ce3e4eb1b926c5a406a22487,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 01:51:58.004000+00:00,diversity,bias
1,pro,0.386200320561764,92e81793ce3e4eb1b926c5a406a22487,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 01:51:58.004000+00:00,diversity,bias
0,con,0.3926091762746289,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,bias
1,pro,0.3472021241770081,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,bias
0,con,0.5030497074723825,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,bias
