,Label,Occurences,run_id,parent_run_id,experiment_run_id,experiment_id,corpus,start_time,strategy,type
0,con,334,bb4dd8cd65ac4ac5b528f9f93dc2f099,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 02:28:30.114000+00:00,representative-diversity,data_distribution
1,pro,373,bb4dd8cd65ac4ac5b528f9f93dc2f099,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 02:28:30.114000+00:00,representative-diversity,data_distribution
0,con,334,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,data_distribution
1,pro,373,0d43d8c17dce4257b45933553be93556,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 01:05:16.169000+00:00,sequential-representation-least-confidence,data_distribution
0,con,334,772f2bcb9c104503aace93425adc180c,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:46:42.598000+00:00,round-robin-highest-confidence,data_distribution
1,pro,373,772f2bcb9c104503aace93425adc180c,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:46:42.598000+00:00,round-robin-highest-confidence,data_distribution
0,con,334,92e81793ce3e4eb1b926c5a406a22487,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 01:51:58.004000+00:00,diversity,data_distribution
1,pro,373,92e81793ce3e4eb1b926c5a406a22487,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 01:51:58.004000+00:00,diversity,data_distribution
0,con,334,68a25468c4fa466d9883addde0c31d70,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 15:07:41.066000+00:00,max-tag-count,data_distribution
1,pro,373,68a25468c4fa466d9883addde0c31d70,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 15:07:41.066000+00:00,max-tag-count,data_distribution
0,con,334,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,data_distribution
1,pro,373,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,data_distribution
0,con,334,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,data_distribution
1,pro,373,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,data_distribution
0,con,334,e0bc9d5b9b354d798d32fb4ca12cbcb4,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 18:15:31.168000+00:00,tag-flip-historical,data_distribution
1,pro,373,e0bc9d5b9b354d798d32fb4ca12cbcb4,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 18:15:31.168000+00:00,tag-flip-historical,data_distribution
0,con,334,ee0b0d2707674cbe8b9eaab5cb7b4591,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:08:39.469000+00:00,round-robin-highest-confidence,data_distribution
1,pro,373,ee0b0d2707674cbe8b9eaab5cb7b4591,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:08:39.469000+00:00,round-robin-highest-confidence,data_distribution
0,con,334,1ad0d0cc1e354b15bddde0e8b886f677,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 00:30:15.092000+00:00,sequential-representation-least-confidence,data_distribution
1,pro,373,1ad0d0cc1e354b15bddde0e8b886f677,22642cda6c5340c2a5c1c2b610ba5cba,e42299f9be1e4e1680409d369ce14278,49,data/processed_data/aurc,2024-08-03 00:30:15.092000+00:00,sequential-representation-least-confidence,data_distribution
0,con,334,2dca67f205de4c918efdd28485a37215,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 01:20:14.547000+00:00,diversity,data_distribution
1,pro,373,2dca67f205de4c918efdd28485a37215,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 01:20:14.547000+00:00,diversity,data_distribution
0,con,334,6509c4028861465687b6b5bc3b9c99ac,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:56:46.459000+00:00,representative-diversity,data_distribution
1,pro,373,6509c4028861465687b6b5bc3b9c99ac,bffcb7bb722746ddaba81850d09f4105,ca7855f63b3a4b78a31f2f40ed7e59cc,52,data/processed_data/aurc,2024-08-03 01:56:46.459000+00:00,representative-diversity,data_distribution
0,con,334,1367d57cdca94d2d9af205c54fc5c472,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 14:15:02.309000+00:00,max-tag-count,data_distribution
1,pro,373,1367d57cdca94d2d9af205c54fc5c472,43be9a299ed5494a97b308fc759c245e,4c8f80fef2e240c197f62c043c6e04e1,17,data/processed_data/aurc,2024-07-05 14:15:02.309000+00:00,max-tag-count,data_distribution
0,con,334,026f8478ef014c58b00388d46d9e8907,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:38:27.010000+00:00,fluctuation-historical-sequence,data_distribution
1,pro,373,026f8478ef014c58b00388d46d9e8907,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 11:38:27.010000+00:00,fluctuation-historical-sequence,data_distribution
0,con,334,a79226dc6c31404383b3eb50cd47cafb,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:07:11.174000+00:00,k-means-cluster-based-bert-km,data_distribution
