,metric_name,corpus,experiment_type,strategy,auc
11,test_f1_macro,AURC-7,performance,tag_count,1143.7872639956574
3,test_f1_macro,AURC-7,performance,information_density,1120.9755613952875
8,test_f1_macro,AURC-7,performance,representative_diversity,1119.8655856822925
12,test_f1_macro,AURC-7,performance,tag_flip,1114.7834071417649
10,test_f1_macro,AURC-7,performance,sequential_representation_lc,1112.521845638752
2,test_f1_macro,AURC-7,performance,fluctuation_history,1109.8836476181943
7,test_f1_macro,AURC-7,performance,randomizer,1101.527305232982
9,test_f1_macro,AURC-7,performance,round_robin,1078.9139448255298
6,test_f1_macro,AURC-7,performance,margin_confidence,1069.3772519901393
5,test_f1_macro,AURC-7,performance,least_confidence,1068.1168182790277
1,test_f1_macro,AURC-7,performance,entropy,1059.0373847335577
0,test_f1_macro,AURC-7,performance,diversity,1010.2073836699127
4,test_f1_macro,AURC-7,performance,k_means_bert,941.6203973616161
15,test_f1_macro,CoNLL2003,performance,fluctuation_history,9782.676569993298
25,test_f1_macro,CoNLL2003,performance,tag_flip,9736.865127131341
16,test_f1_macro,CoNLL2003,performance,information_density,9688.403650715949
23,test_f1_macro,CoNLL2003,performance,sequential_representation_lc,9678.859484399358
24,test_f1_macro,CoNLL2003,performance,tag_count,9640.545857384801
18,test_f1_macro,CoNLL2003,performance,least_confidence,9527.948986748852
19,test_f1_macro,CoNLL2003,performance,margin_confidence,9524.062730868658
22,test_f1_macro,CoNLL2003,performance,round_robin,9496.803092514476
14,test_f1_macro,CoNLL2003,performance,entropy,9491.488891392948
17,test_f1_macro,CoNLL2003,performance,k_means_bert,9486.814829811454
20,test_f1_macro,CoNLL2003,performance,randomizer,9434.935405522585
21,test_f1_macro,CoNLL2003,performance,representative_diversity,9405.262528076768
13,test_f1_macro,CoNLL2003,performance,diversity,9281.17895309627
37,test_f1_macro,GermEval,performance,tag_count,9826.321172714233
28,test_f1_macro,GermEval,performance,fluctuation_history,9564.52445089817
38,test_f1_macro,GermEval,performance,tag_flip,9210.737999975681
35,test_f1_macro,GermEval,performance,round_robin,9042.126991947493
36,test_f1_macro,GermEval,performance,sequential_representation_lc,9000.16053577264
31,test_f1_macro,GermEval,performance,least_confidence,8967.19884922107
27,test_f1_macro,GermEval,performance,entropy,8958.215351800123
32,test_f1_macro,GermEval,performance,margin_confidence,8941.647020479042
29,test_f1_macro,GermEval,performance,information_density,8740.85823893547
26,test_f1_macro,GermEval,performance,diversity,8611.058091024557
30,test_f1_macro,GermEval,performance,k_means_bert,8596.158939401308
34,test_f1_macro,GermEval,performance,representative_diversity,8449.396615227062
33,test_f1_macro,GermEval,performance,randomizer,8273.889625320833
41,test_f1_macro,JNLPBA,performance,fluctuation_history,10709.072058275342
50,test_f1_macro,JNLPBA,performance,tag_count,10569.037962332368
49,test_f1_macro,JNLPBA,performance,sequential_representation_lc,10017.397972010076
42,test_f1_macro,JNLPBA,performance,information_density,10008.744247071445
51,test_f1_macro,JNLPBA,performance,tag_flip,9889.371048472822
47,test_f1_macro,JNLPBA,performance,representative_diversity,9875.525685958564
48,test_f1_macro,JNLPBA,performance,round_robin,9789.767578803003
39,test_f1_macro,JNLPBA,performance,diversity,9603.442940674722
46,test_f1_macro,JNLPBA,performance,randomizer,9432.861002162099
40,test_f1_macro,JNLPBA,performance,entropy,9260.510384757072
44,test_f1_macro,JNLPBA,performance,least_confidence,9251.96198662743
43,test_f1_macro,JNLPBA,performance,k_means_bert,9169.801435783505
45,test_f1_macro,JNLPBA,performance,margin_confidence,9155.661609210074
62,test_f1_macro,Medmentions,performance,sequential_representation_lc,1518.977874348561
55,test_f1_macro,Medmentions,performance,information_density,1518.8350056409838
58,test_f1_macro,Medmentions,performance,margin_confidence,1518.7875974078975
54,test_f1_macro,Medmentions,performance,fluctuation_history,1518.736886948347
53,test_f1_macro,Medmentions,performance,entropy,1518.5148967703183
57,test_f1_macro,Medmentions,performance,least_confidence,1518.336479872465
64,test_f1_macro,Medmentions,performance,tag_flip,1517.8301920493443
56,test_f1_macro,Medmentions,performance,k_means_bert,1517.433216859897
60,test_f1_macro,Medmentions,performance,representative_diversity,1516.6807411015034
59,test_f1_macro,Medmentions,performance,randomizer,1516.669217199087
52,test_f1_macro,Medmentions,performance,diversity,1515.7206283509731
61,test_f1_macro,Medmentions,performance,round_robin,1515.2217095593612
63,test_f1_macro,Medmentions,performance,tag_count,1513.3648232320945
76,test_f1_macro,SCIERC,performance,tag_count,138.91758854935566
73,test_f1_macro,SCIERC,performance,representative_diversity,130.93893448760113
68,test_f1_macro,SCIERC,performance,information_density,130.48697301000357
77,test_f1_macro,SCIERC,performance,tag_flip,128.96908831844726
67,test_f1_macro,SCIERC,performance,fluctuation_history,127.24098904430866
74,test_f1_macro,SCIERC,performance,round_robin,126.38018202036616
75,test_f1_macro,SCIERC,performance,sequential_representation_lc,124.42823081463575
65,test_f1_macro,SCIERC,performance,diversity,123.99856565147638
69,test_f1_macro,SCIERC,performance,k_means_bert,122.29167266438404
71,test_f1_macro,SCIERC,performance,margin_confidence,83.34916904568671
72,test_f1_macro,SCIERC,performance,randomizer,80.85719384998082
70,test_f1_macro,SCIERC,performance,least_confidence,79.84739081064859
66,test_f1_macro,SCIERC,performance,entropy,78.3342967517674
89,test_f1_macro,WNUT,performance,tag_count,528.0879071038215
80,test_f1_macro,WNUT,performance,fluctuation_history,506.39633265448094
88,test_f1_macro,WNUT,performance,sequential_representation_lc,442.5527679487131
87,test_f1_macro,WNUT,performance,round_robin,436.90647167107085
78,test_f1_macro,WNUT,performance,diversity,419.42625859519467
81,test_f1_macro,WNUT,performance,information_density,413.57574107637623
90,test_f1_macro,WNUT,performance,tag_flip,407.3140595519604
83,test_f1_macro,WNUT,performance,least_confidence,399.50106381784025
79,test_f1_macro,WNUT,performance,entropy,398.40769728226576
84,test_f1_macro,WNUT,performance,margin_confidence,375.3062002047275
82,test_f1_macro,WNUT,performance,k_means_bert,374.94823301474867
86,test_f1_macro,WNUT,performance,representative_diversity,323.40802126185724
85,test_f1_macro,WNUT,performance,randomizer,289.2702629127888
