,strategy,corpus,p_value,stat_significant
28,tag_count,AURC-7,2.5650641753645523e-15,True
56,information_density,AURC-7,2.407374644575516e-11,True
0,representative_diversity,AURC-7,5.301321785911535e-05,True
49,tag_flip,AURC-7,0.016795200887843916,True
14,fluctuation_history,AURC-7,0.17852908657645422,False
35,k_means_bert,AURC-7,0.19674088443981597,False
7,sequential_representation_lc,AURC-7,0.28886373719076963,False
42,round_robin,AURC-7,0.9918648181965785,False
77,least_confidence,AURC-7,0.9999999999999998,False
21,diversity,AURC-7,1.0,False
63,entropy,AURC-7,1.0,False
70,margin_confidence,AURC-7,1.0,False
15,fluctuation_history,CoNLL2003,4.560987857716171e-44,True
50,tag_flip,CoNLL2003,1.3249361396896667e-43,True
29,tag_count,CoNLL2003,4.2550166704747573e-41,True
57,information_density,CoNLL2003,5.037662851974595e-40,True
8,sequential_representation_lc,CoNLL2003,1.8614810880304859e-37,True
78,least_confidence,CoNLL2003,3.549891828016862e-26,True
71,margin_confidence,CoNLL2003,2.052068037406162e-25,True
64,entropy,CoNLL2003,1.1814995770161526e-16,True
43,round_robin,CoNLL2003,0.0030322986380195436,True
36,k_means_bert,CoNLL2003,0.9066936280011175,False
1,representative_diversity,CoNLL2003,0.9999999999866922,False
22,diversity,CoNLL2003,1.0,False
9,sequential_representation_lc,GermEval,8.072644391171241e-73,True
37,k_means_bert,GermEval,8.072644391171241e-73,True
44,round_robin,GermEval,8.072644391171241e-73,True
51,tag_flip,GermEval,8.072644391171241e-73,True
23,diversity,GermEval,8.185760784427833e-73,True
65,entropy,GermEval,3.0517301757308596e-71,True
72,margin_confidence,GermEval,1.510073460633786e-70,True
79,least_confidence,GermEval,1.5950709770969973e-70,True
58,information_density,GermEval,1.0001271539677523e-69,True
2,representative_diversity,GermEval,8.386272025291746e-56,True
16,fluctuation_history,GermEval,3.5765330334771244e-26,True
30,tag_count,GermEval,3.5765330334771244e-26,True
3,representative_diversity,JNLPBA,1.8173175257046858e-65,True
10,sequential_representation_lc,JNLPBA,1.8173175257046858e-65,True
31,tag_count,JNLPBA,1.8173175257046858e-65,True
45,round_robin,JNLPBA,1.8173175257046858e-65,True
52,tag_flip,JNLPBA,1.8173175257046858e-65,True
59,information_density,JNLPBA,1.8173175257046858e-65,True
24,diversity,JNLPBA,4.837124214041189e-59,True
17,fluctuation_history,JNLPBA,3.25623422247769e-23,True
38,k_means_bert,JNLPBA,0.040714263916015625,True
80,least_confidence,JNLPBA,0.9999999999998904,False
66,entropy,JNLPBA,0.9999999999999309,False
73,margin_confidence,JNLPBA,1.0,False
74,margin_confidence,Medmentions,3.953022720531204e-10,True
67,entropy,Medmentions,3.7433203407410264e-07,True
81,least_confidence,Medmentions,4.451523856166332e-07,True
11,sequential_representation_lc,Medmentions,0.005528183606776288,True
18,fluctuation_history,Medmentions,0.045261379628768236,True
60,information_density,Medmentions,0.16764172394393423,False
53,tag_flip,Medmentions,0.916421963720751,False
39,k_means_bert,Medmentions,0.9869855528713707,False
4,representative_diversity,Medmentions,0.9979579040609381,False
25,diversity,Medmentions,0.999999767698794,False
46,round_robin,Medmentions,0.9999999983141159,False
32,tag_count,Medmentions,0.9999999999984156,False
5,representative_diversity,SCIERC,8.128492284665484e-11,True
12,sequential_representation_lc,SCIERC,8.128492284665484e-11,True
26,diversity,SCIERC,8.128492284665484e-11,True
33,tag_count,SCIERC,8.128492284665484e-11,True
47,round_robin,SCIERC,8.128492284665484e-11,True
54,tag_flip,SCIERC,8.128492284665484e-11,True
61,information_density,SCIERC,8.128492284665484e-11,True
19,fluctuation_history,SCIERC,3.814697265625e-06,True
40,k_means_bert,SCIERC,3.814697265625e-06,True
75,margin_confidence,SCIERC,0.15015119287740053,False
68,entropy,SCIERC,0.6952762804801769,False
82,least_confidence,SCIERC,0.7575160752862138,False
20,fluctuation_history,WNUT,8.119045038975186e-11,True
34,tag_count,WNUT,8.119045038975186e-11,True
13,sequential_representation_lc,WNUT,7.541844435627325e-10,True
27,diversity,WNUT,7.541844435627325e-10,True
41,k_means_bert,WNUT,7.541844435627325e-10,True
48,round_robin,WNUT,7.541844435627325e-10,True
55,tag_flip,WNUT,7.541844435627325e-10,True
62,information_density,WNUT,7.541844435627325e-10,True
69,entropy,WNUT,7.541844435627325e-10,True
83,least_confidence,WNUT,1.0900967085878263e-09,True
76,margin_confidence,WNUT,2.0002285598384426e-09,True
6,representative_diversity,WNUT,8.694229315972716e-05,True
