,statistic,p_value
tag_flip,1197990.0,7.127034677387778e-227
information_density,1193417.0,2.4233668027898605e-223
sequential_representation_lc,1191551.0,6.567703224143021e-222
tag_count,791405.0,2.6759923408135035e-167
round_robin,1105273.5,9.844966951573207e-161
fluctuation_history,463624.5,7.198918978562533e-122
representative_diversity,975299.0,6.940091640397157e-88
k_means_bert,429769.5,8.39502702333885e-60
least_confidence,860520.0,6.92579067357295e-51
entropy,846915.5,5.845488680872614e-46
margin_confidence,821490.0,4.4345677510910156e-38
diversity,829885.0,5.978916126971188e-32
